FUNIT: Hz
UNIT: dB
2.378751e+09 [-42.62, 116.86] [-42.42, 117.86] [-42.22, 118.86]
2.469592e+09 [-42.68, -10.45] [-42.48, -9.45] [-42.28, -8.45]
2.563903e+09 [-42.62, -142.23] [-42.42, -141.23] [-42.22, -140.23]
2.661816e+09 [-42.46, 81.58] [-42.26, 82.58] [-42.06, 83.58]
2.763468e+09 [-42.19, -60.12] [-41.99, -59.12] [-41.79, -58.12]
2.869001e+09 [-41.85, 153.20] [-41.65, 154.20] [-41.45, 155.20]
2.978565e+09 [-41.46, 1.87] [-41.26, 2.87] [-41.06, 3.87]
3.092313e+09 [-41.11, -154.03] [-40.91, -153.03] [-40.71, -152.03]
3.210405e+09 [-40.77, 45.24] [-40.57, 46.24] [-40.37, 47.24]
3.333007e+09 [-40.52, -121.22] [-40.32, -120.22] [-40.12, -119.22]
3.460290e+09 [-40.40, 66.99] [-40.20, 67.99] [-40.00, 68.99]
3.592435e+09 [-40.40, -111.07] [-40.20, -110.07] [-40.00, -109.07]
3.729626e+09 [-40.59, 64.83] [-40.39, 65.83] [-40.19, 66.83]
3.872056e+09 [-41.04, -125.99] [-40.84, -124.99] [-40.64, -123.99]
4.019925e+09 [-41.78, 35.94] [-41.58, 36.94] [-41.38, 37.94]
4.173442e+09 [-42.92, -169.59] [-42.72, -168.59] [-42.52, -167.59]
4.332821e+09 [-44.57, -22.92] [-44.37, -21.92] [-44.17, -20.92]
4.498286e+09 [-47.16, 115.15] [-46.96, 116.15] [-46.76, 117.15]
4.670071e+09 [-51.65, -118.69] [-51.45, -117.69] [-51.25, -116.69]
4.848415e+09 [-61.87, -30.43] [-61.67, -29.43] [-61.47, -28.43]
5.033571e+09 [-55.54, -27.87] [-55.34, -26.87] [-55.14, -25.87]
5.225797e+09 [-48.43, 64.33] [-48.23, 65.33] [-48.03, 66.33]
5.425364e+09 [-44.65, 155.75] [-44.45, 156.75] [-44.25, 157.75]
5.632553e+09 [-42.35, -121.55] [-42.15, -120.55] [-41.95, -119.55]
5.847653e+09 [-40.80, -49.34] [-40.60, -48.34] [-40.40, -47.34]
6.070969e+09 [-39.95, 11.82] [-39.75, 12.82] [-39.55, 13.82]
6.302812e+09 [-39.67, 62.29] [-39.47, 63.29] [-39.27, 64.29]
6.543509e+09 [-39.69, 98.54] [-39.49, 99.54] [-39.29, 100.54]
6.793398e+09 [-40.33, 120.85] [-40.13, 121.85] [-39.93, 122.85]
7.052830e+09 [-41.14, 126.93] [-40.94, 127.93] [-40.74, 128.93]
7.322170e+09 [-42.01, 114.50] [-41.81, 115.50] [-41.61, 116.50]
7.601795e+09 [-42.47, 84.57] [-42.27, 85.57] [-42.07, 86.57]
7.892099e+09 [-42.13, 40.67] [-41.93, 41.67] [-41.73, 42.67]
8.193489e+09 [-41.55, -13.40] [-41.35, -12.40] [-41.15, -11.40]
8.506389e+09 [-41.41, -78.36] [-41.21, -77.36] [-41.01, -76.36]
8.831239e+09 [-41.88, -155.63] [-41.68, -154.63] [-41.48, -153.63]
9.168493e+09 [-44.11, 113.10] [-43.91, 114.10] [-43.71, 115.10]
9.518628e+09 [-49.74, 1.16] [-49.54, 2.16] [-49.34, 3.16]
9.882133e+09 [-61.41, 99.50] [-61.21, 100.50] [-61.01, 101.50]
1.025952e+10 [-48.78, -71.73] [-48.58, -70.73] [-48.38, -69.73]
1.065132e+10 [-42.79, 125.58] [-42.59, 126.58] [-42.39, 127.58]
1.105808e+10 [-39.20, -54.71] [-39.00, -53.71] [-38.80, -52.71]
1.148038e+10 [-38.90, 98.40] [-38.70, 99.40] [-38.50, 100.40]
1.191880e+10 [-40.40, -159.90] [-40.20, -158.90] [-40.00, -157.90]
1.237396e+10 [-43.36, -35.06] [-43.16, -34.06] [-42.96, -33.06]
1.284651e+10 [-43.90, 25.93] [-43.70, 26.93] [-43.50, 27.93]
1.333711e+10 [-41.02, 71.63] [-40.82, 72.63] [-40.62, 73.63]
1.384643e+10 [-43.90, 99.52] [-43.70, 100.52] [-43.50, 101.52]
1.437521e+10 [-42.99, -152.49] [-42.79, -151.49] [-42.59, -150.49]
1.492419e+10 [-41.17, -179.30] [-40.97, -178.30] [-40.77, -177.30]
1.549412e+10 [-46.70, -146.23] [-46.50, -145.23] [-46.30, -144.23]
1.608583e+10 [-41.94, 171.78] [-41.74, 172.78] [-41.54, 173.78]
1.670013e+10 [-42.30, 79.91] [-42.10, 80.91] [-41.90, 81.91]
1.733789e+10 [-41.27, -91.07] [-41.07, -90.07] [-40.87, -89.07]
1.800000e+10 [-43.19, 127.81] [-42.99, 128.81] [-42.79, 129.81]
