FUNIT: Hz
UNIT: dB
0.0 [-0.2, -1.0] [0.0, 0.0] [0.2, +1.0]
1.972273e+09 [-2.10, 108.57] [-1.90, 109.57] [-1.70, 110.57]
2.047592e+09 [-2.08, -162.01] [-1.88, -161.01] [-1.68, -160.01]
2.125787e+09 [-2.17, -83.62] [-1.97, -82.62] [-1.77, -81.62]
2.206969e+09 [-2.20, -14.20] [-2.00, -13.20] [-1.80, -12.20]
2.291250e+09 [-2.33, 41.98] [-2.13, 42.98] [-1.93, 43.98]
2.378751e+09 [-2.29, 88.50] [-2.09, 89.50] [-1.89, 90.50]
2.469592e+09 [-2.45, 121.55] [-2.25, 122.55] [-2.05, 123.55]
2.563903e+09 [-2.46, 143.65] [-2.26, 144.65] [-2.06, 145.65]
2.661816e+09 [-2.59, 150.91] [-2.39, 151.91] [-2.19, 152.91]
2.763468e+09 [-2.63, 146.21] [-2.43, 147.21] [-2.23, 148.21]
2.869001e+09 [-2.80, 127.36] [-2.60, 128.36] [-2.40, 129.36]
2.978565e+09 [-2.86, 93.79] [-2.66, 94.79] [-2.46, 95.79]
3.092313e+09 [-2.84, 45.16] [-2.64, 46.16] [-2.44, 47.16]
3.210405e+09 [-3.31, -19.05] [-3.11, -18.05] [-2.91, -17.05]
3.333007e+09 [-3.04, -99.15] [-2.84, -98.15] [-2.64, -97.15]
3.460290e+09 [-3.07, 163.75] [-2.87, 164.75] [-2.67, 165.75]
3.592435e+09 [-3.65, 49.49] [-3.45, 50.49] [-3.25, 51.49]
3.729626e+09 [-3.45, -84.04] [-3.25, -83.04] [-3.05, -82.04]
3.872056e+09 [-3.52, 123.42] [-3.32, 124.42] [-3.12, 125.42]
4.019925e+09 [-3.73, -45.80] [-3.53, -44.80] [-3.33, -43.80]
4.173442e+09 [-3.89, 121.27] [-3.69, 122.27] [-3.49, 123.27]
4.332821e+09 [-4.32, -90.58] [-4.12, -89.58] [-3.92, -88.58]
4.498286e+09 [-4.27, 35.76] [-4.07, 36.76] [-3.87, 37.76]
4.670071e+09 [-4.37, 137.40] [-4.17, 138.40] [-3.97, 139.40]
4.848415e+09 [-4.77, -143.29] [-4.57, -142.29] [-4.37, -141.29]
5.033571e+09 [-4.98, -88.41] [-4.78, -87.41] [-4.58, -86.41]
5.225797e+09 [-5.36, -58.33] [-5.16, -57.33] [-4.96, -56.33]
5.425364e+09 [-5.54, -54.54] [-5.34, -53.54] [-5.14, -52.54]
5.632553e+09 [-5.90, -80.20] [-5.70, -79.20] [-5.50, -78.20]
5.847653e+09 [-6.43, -132.81] [-6.23, -131.81] [-6.03, -130.81]
6.070969e+09 [-6.78, 149.83] [-6.58, 150.83] [-6.38, 151.83]
6.302812e+09 [-7.56, 37.71] [-7.36, 38.71] [-7.16, 39.71]
6.543509e+09 [-7.54, -112.41] [-7.34, -111.41] [-7.14, -110.41]
6.793398e+09 [-8.06, 72.21] [-7.86, 73.21] [-7.66, 74.21]
7.052830e+09 [-8.75, -134.32] [-8.55, -133.32] [-8.35, -132.32]
7.322170e+09 [-9.67, -27.98] [-9.47, -26.98] [-9.27, -25.98]
7.601795e+09 [-10.00, 53.73] [-9.80, 54.73] [-9.60, 55.73]
7.892099e+09 [-10.31, 95.59] [-10.11, 96.59] [-9.91, 97.59]
8.193489e+09 [-11.10, 95.77] [-10.90, 96.77] [-10.70, 97.77]
8.506389e+09 [-13.21, 49.66] [-13.01, 50.66] [-12.81, 51.66]
8.831239e+09 [-13.59, -25.36] [-13.39, -24.36] [-13.19, -23.36]
9.168493e+09 [-15.99, -152.81] [-15.79, -151.81] [-15.59, -150.81]
9.518628e+09 [-16.47, 32.83] [-16.27, 33.83] [-16.07, 34.83]
9.882133e+09 [-17.12, 177.12] [-16.92, 178.12] [-16.72, 179.12]
1.025952e+10 [-18.28, -81.10] [-18.08, -80.10] [-17.88, -79.10]
1.065132e+10 [-18.32, -38.45] [-18.12, -37.45] [-17.92, -36.45]
1.105808e+10 [-17.05, -43.69] [-16.85, -42.69] [-16.65, -41.69]
1.148038e+10 [-14.85, -118.33] [-14.65, -117.33] [-14.45, -116.33]
1.191880e+10 [-14.97, 108.85] [-14.77, 109.85] [-14.57, 110.85]
1.237396e+10 [-15.46, -73.42] [-15.26, -72.42] [-15.06, -71.42]
1.284651e+10 [-14.09, 32.10] [-13.89, 33.10] [-13.69, 34.10]
1.333711e+10 [-13.16, 70.68] [-12.96, 71.68] [-12.76, 72.68]
1.384643e+10 [-13.77, 50.60] [-13.57, 51.60] [-13.37, 52.60]
1.437521e+10 [-11.93, -48.39] [-11.73, -47.39] [-11.53, -46.39]
1.492419e+10 [-13.67, 142.15] [-13.47, 143.15] [-13.27, 144.15]
1.549412e+10 [-11.44, -105.47] [-11.24, -104.47] [-11.04, -103.47]
1.608583e+10 [-12.41, -54.78] [-12.21, -53.78] [-12.01, -52.78]
1.670013e+10 [-12.01, -108.17] [-11.81, -107.17] [-11.61, -106.17]
1.733789e+10 [-10.23, 121.71] [-10.03, 122.71] [-9.83, 123.71]
1.800000e+10 [-9.70, -95.10] [-9.50, -94.10] [-9.30, -93.10]
