FUNIT: Hz
UNIT: dB
3.592435e+09 [-25.18, -73.87] [-24.98, -72.87] [-24.78, -71.87]
3.729626e+09 [-29.61, -109.82] [-29.41, -108.82] [-29.21, -107.82]
3.872056e+09 [-27.21, 141.34] [-27.01, 142.34] [-26.81, 143.34]
4.019925e+09 [-27.13, -12.71] [-26.93, -11.71] [-26.73, -10.71]
4.173442e+09 [-30.71, 163.42] [-30.51, 164.42] [-30.31, 165.42]
4.332821e+09 [-27.34, -15.71] [-27.14, -14.71] [-26.94, -13.71]
4.498286e+09 [-33.68, 128.52] [-33.48, 129.52] [-33.28, 130.52]
4.670071e+09 [-40.17, -55.94] [-39.97, -54.94] [-39.77, -53.94]
4.848415e+09 [-27.89, 69.04] [-27.69, 70.04] [-27.49, 71.04]
5.033571e+09 [-33.01, 128.30] [-32.81, 129.30] [-32.61, 130.30]
5.225797e+09 [-34.65, 138.99] [-34.45, 139.99] [-34.25, 140.99]
5.425364e+09 [-39.36, 133.30] [-39.16, 134.30] [-38.96, 135.30]
5.632553e+09 [-41.55, -152.79] [-41.35, -151.79] [-41.15, -150.79]
5.847653e+09 [-41.52, -138.02] [-41.32, -137.02] [-41.12, -136.02]
6.070969e+09 [-36.96, 49.86] [-36.76, 50.86] [-36.56, 51.86]
6.302812e+09 [-29.17, -41.44] [-28.97, -40.44] [-28.77, -39.44]
6.543509e+09 [-20.26, 100.87] [-20.06, 101.87] [-19.86, 102.87]
6.793398e+09 [-29.90, 36.39] [-29.70, 37.39] [-29.50, 38.39]
7.052830e+09 [-18.83, -138.01] [-18.63, -137.01] [-18.43, -136.01]
7.322170e+09 [-27.59, -12.55] [-27.39, -11.55] [-27.19, -10.55]
7.601795e+09 [-33.14, -175.28] [-32.94, -174.28] [-32.74, -173.28]
7.892099e+09 [-29.82, -33.65] [-29.62, -32.65] [-29.42, -31.65]
8.193489e+09 [-24.73, 77.88] [-24.53, 78.88] [-24.33, 79.88]
8.506389e+09 [-34.20, -5.61] [-34.00, -4.61] [-33.80, -3.61]
8.831239e+09 [-28.20, 16.75] [-28.00, 17.75] [-27.80, 18.75]
9.168493e+09 [-35.58, -12.69] [-35.38, -11.69] [-35.18, -10.69]
9.518628e+09 [-19.72, -160.32] [-19.52, -159.32] [-19.32, -158.32]
9.882133e+09 [-14.92, 39.06] [-14.72, 40.06] [-14.52, 41.06]
1.025952e+10 [-20.73, -179.04] [-20.53, -178.04] [-20.33, -177.04]
1.065132e+10 [-23.65, 6.94] [-23.45, 7.94] [-23.25, 8.94]
1.105808e+10 [-19.65, 99.97] [-19.45, 100.97] [-19.25, 101.97]
1.148038e+10 [-26.92, -80.26] [-26.72, -79.26] [-26.52, -78.26]
1.191880e+10 [-31.44, -13.24] [-31.24, -12.24] [-31.04, -11.24]
1.237396e+10 [-33.91, 163.18] [-33.71, 164.18] [-33.51, 165.18]
1.284651e+10 [-41.18, 55.16] [-40.98, 56.16] [-40.78, 57.16]
1.333711e+10 [-25.62, 156.58] [-25.42, 157.58] [-25.22, 158.58]
1.384643e+10 [-32.42, -84.83] [-32.22, -83.83] [-32.02, -82.83]
1.437521e+10 [-41.13, -134.75] [-40.93, -133.75] [-40.73, -132.75]
1.492419e+10 [-30.98, 77.73] [-30.78, 78.73] [-30.58, 79.73]
1.549412e+10 [-31.46, -28.51] [-31.26, -27.51] [-31.06, -26.51]
1.608583e+10 [-30.67, -124.85] [-30.47, -123.85] [-30.27, -122.85]
1.670013e+10 [-32.03, 104.59] [-31.83, 105.59] [-31.63, 106.59]
1.733789e+10 [-28.38, 97.03] [-28.18, 98.03] [-27.98, 99.03]
1.800000e+10 [-32.11, 21.85] [-31.91, 22.85] [-31.71, 23.85]
