FUNIT: Hz
UNIT: dB
2.661816e+09 [-33.28, 140.45] [-33.08, 141.45] [-32.88, 142.45]
2.763468e+09 [-38.68, 157.86] [-38.48, 158.86] [-38.28, 159.86]
2.869001e+09 [-34.19, -167.14] [-33.99, -166.14] [-33.79, -165.14]
2.978565e+09 [-32.87, -130.13] [-32.67, -129.13] [-32.47, -128.13]
3.092313e+09 [-37.79, -136.48] [-37.59, -135.48] [-37.39, -134.48]
3.210405e+09 [-32.52, -83.99] [-32.32, -82.99] [-32.12, -81.99]
3.333007e+09 [-32.31, -80.68] [-32.11, -79.68] [-31.91, -78.68]
3.460290e+09 [-31.64, -112.68] [-31.44, -111.68] [-31.24, -110.68]
3.592435e+09 [-26.51, -124.98] [-26.31, -123.98] [-26.11, -122.98]
3.729626e+09 [-18.50, 131.77] [-18.30, 132.77] [-18.10, 133.77]
3.872056e+09 [-20.28, 40.82] [-20.08, 41.82] [-19.88, 42.82]
4.019925e+09 [-37.13, -45.79] [-36.93, -44.79] [-36.73, -43.79]
4.173442e+09 [-24.44, -145.43] [-24.24, -144.43] [-24.04, -143.43]
4.332821e+09 [-42.15, 95.43] [-41.95, 96.43] [-41.75, 97.43]
4.498286e+09 [-24.09, -10.38] [-23.89, -9.38] [-23.69, -8.38]
4.670071e+09 [-22.23, 169.75] [-22.03, 170.75] [-21.83, 171.75]
4.848415e+09 [-25.73, -33.10] [-25.53, -32.10] [-25.33, -31.10]
5.033571e+09 [-25.75, 131.32] [-25.55, 132.32] [-25.35, 133.32]
5.225797e+09 [-29.03, -144.58] [-28.83, -143.58] [-28.63, -142.58]
5.425364e+09 [-33.72, -6.72] [-33.52, -5.72] [-33.32, -4.72]
5.632553e+09 [-40.08, 30.04] [-39.88, 31.04] [-39.68, 32.04]
5.847653e+09 [-42.67, 34.08] [-42.47, 35.08] [-42.27, 36.08]
6.070969e+09 [-35.08, 21.70] [-34.88, 22.70] [-34.68, 23.70]
6.302812e+09 [-35.72, 70.53] [-35.52, 71.53] [-35.32, 72.53]
6.543509e+09 [-27.38, 21.43] [-27.18, 22.43] [-26.98, 23.43]
6.793398e+09 [-25.19, -59.08] [-24.99, -58.08] [-24.79, -57.08]
7.052830e+09 [-28.47, -151.88] [-28.27, -150.88] [-28.07, -149.88]
7.322170e+09 [-29.24, 20.07] [-29.04, 21.07] [-28.84, 22.07]
7.601795e+09 [-33.83, -157.87] [-33.63, -156.87] [-33.43, -155.87]
7.892099e+09 [-27.04, -26.01] [-26.84, -25.01] [-26.64, -24.01]
8.193489e+09 [-23.59, 120.54] [-23.39, 121.54] [-23.19, 122.54]
8.506389e+09 [-21.82, 175.49] [-21.62, 176.49] [-21.42, 177.49]
8.831239e+09 [-21.21, -106.14] [-21.01, -105.14] [-20.81, -104.14]
9.168493e+09 [-30.54, 47.52] [-30.34, 48.52] [-30.14, 49.52]
9.518628e+09 [-22.83, -7.47] [-22.63, -6.47] [-22.43, -5.47]
9.882133e+09 [-18.85, -53.22] [-18.65, -52.22] [-18.45, -51.22]
1.025952e+10 [-16.00, 50.77] [-15.80, 51.77] [-15.60, 52.77]
1.065132e+10 [-14.48, -178.87] [-14.28, -177.87] [-14.08, -176.87]
1.105808e+10 [-10.92, 29.76] [-10.72, 30.76] [-10.52, 31.76]
1.148038e+10 [-19.24, 98.73] [-19.04, 99.73] [-18.84, 100.73]
1.191880e+10 [-25.29, 6.31] [-25.09, 7.31] [-24.89, 8.31]
1.237396e+10 [-31.46, 83.45] [-31.26, 84.45] [-31.06, 85.45]
1.284651e+10 [-26.19, 160.39] [-25.99, 161.39] [-25.79, 162.39]
1.333711e+10 [-28.11, -122.05] [-27.91, -121.05] [-27.71, -120.05]
1.384643e+10 [-28.14, -65.71] [-27.94, -64.71] [-27.74, -63.71]
1.437521e+10 [-29.65, -6.70] [-29.45, -5.70] [-29.25, -4.70]
1.492419e+10 [-30.41, -24.92] [-30.21, -23.92] [-30.01, -22.92]
1.549412e+10 [-31.21, -137.62] [-31.01, -136.62] [-30.81, -135.62]
1.608583e+10 [-35.45, 73.36] [-35.25, 74.36] [-35.05, 75.36]
1.670013e+10 [-27.90, -157.96] [-27.70, -156.96] [-27.50, -155.96]
1.733789e+10 [-34.90, -154.36] [-34.70, -153.36] [-34.50, -152.36]
1.800000e+10 [-20.96, -56.69] [-20.76, -55.69] [-20.56, -54.69]
