FUNIT: Hz
UNIT: dB
2.869001e+09 [-42.39, 82.00] [-42.19, 83.00] [-41.99, 84.00]
2.978565e+09 [-42.72, 131.71] [-42.52, 132.71] [-42.32, 133.71]
3.092313e+09 [-42.90, 168.65] [-42.70, 169.65] [-42.50, 170.65]
3.210405e+09 [-42.81, -167.84] [-42.61, -166.84] [-42.41, -165.84]
3.333007e+09 [-42.46, -157.78] [-42.26, -156.78] [-42.06, -155.78]
3.460290e+09 [-42.32, -163.59] [-42.12, -162.59] [-41.92, -161.59]
3.592435e+09 [-42.83, 178.58] [-42.63, 179.58] [-42.43, 180.58]
3.729626e+09 [-43.08, 152.21] [-42.88, 153.21] [-42.68, 154.21]
3.872056e+09 [-42.65, 106.48] [-42.45, 107.48] [-42.25, 108.48]
4.019925e+09 [-43.28, 57.04] [-43.08, 58.04] [-42.88, 59.04]
4.173442e+09 [-42.17, -18.19] [-41.97, -17.19] [-41.77, -16.19]
4.332821e+09 [-39.48, -100.06] [-39.28, -99.06] [-39.08, -98.06]
4.498286e+09 [-37.12, 154.00] [-36.92, 155.00] [-36.72, 156.00]
4.670071e+09 [-34.51, 19.19] [-34.31, 20.19] [-34.11, 21.19]
4.848415e+09 [-32.07, -141.30] [-31.87, -140.30] [-31.67, -139.30]
5.033571e+09 [-30.34, 33.48] [-30.14, 34.48] [-29.94, 35.48]
5.225797e+09 [-29.64, -165.43] [-29.44, -164.43] [-29.24, -163.43]
5.425364e+09 [-27.98, -33.50] [-27.78, -32.50] [-27.58, -31.50]
5.632553e+09 [-27.38, 86.37] [-27.18, 87.37] [-26.98, 88.37]
5.847653e+09 [-28.35, 169.96] [-28.15, 170.96] [-27.95, 171.96]
6.070969e+09 [-28.20, -129.36] [-28.00, -128.36] [-27.80, -127.36]
6.302812e+09 [-29.12, -87.62] [-28.92, -86.62] [-28.72, -85.62]
6.543509e+09 [-29.25, -49.22] [-29.05, -48.22] [-28.85, -47.22]
6.793398e+09 [-27.45, -72.06] [-27.25, -71.06] [-27.05, -70.06]
7.052830e+09 [-34.96, -103.17] [-34.76, -102.17] [-34.56, -101.17]
7.322170e+09 [-34.94, -177.20] [-34.74, -176.20] [-34.54, -175.20]
7.601795e+09 [-32.62, 108.50] [-32.42, 109.50] [-32.22, 110.50]
7.892099e+09 [-41.23, 10.30] [-41.03, 11.30] [-40.83, 12.30]
8.193489e+09 [-32.59, -139.26] [-32.39, -138.26] [-32.19, -137.26]
8.506389e+09 [-38.11, 22.36] [-37.91, 23.36] [-37.71, 24.36]
8.831239e+09 [-43.29, 117.99] [-43.09, 118.99] [-42.89, 119.99]
9.168493e+09 [-39.27, -13.88] [-39.07, -12.88] [-38.87, -11.88]
9.518628e+09 [-34.20, 16.26] [-34.00, 17.26] [-33.80, 18.26]
9.882133e+09 [-39.65, 15.15] [-39.45, 16.15] [-39.25, 17.15]
1.025952e+10 [-59.37, 69.30] [-59.17, 70.30] [-58.97, 71.30]
1.065132e+10 [-57.35, 23.92] [-57.15, 24.92] [-56.95, 25.92]
1.105808e+10 [-45.10, 7.07] [-44.90, 8.07] [-44.70, 9.07]
1.148038e+10 [-42.52, -132.59] [-42.32, -131.59] [-42.12, -130.59]
1.191880e+10 [-48.34, -31.84] [-48.14, -30.84] [-47.94, -29.84]
1.237396e+10 [-38.79, -172.18] [-38.59, -171.18] [-38.39, -170.18]
1.284651e+10 [-37.96, -100.06] [-37.76, -99.06] [-37.56, -98.06]
1.333711e+10 [-37.07, -105.04] [-36.87, -104.04] [-36.67, -103.04]
1.384643e+10 [-38.01, -113.74] [-37.81, -112.74] [-37.61, -111.74]
1.437521e+10 [-41.97, 157.91] [-41.77, 158.91] [-41.57, 159.91]
1.492419e+10 [-36.26, -166.04] [-36.06, -165.04] [-35.86, -164.04]
1.549412e+10 [-36.14, -138.46] [-35.94, -137.46] [-35.74, -136.46]
1.608583e+10 [-38.23, -29.33] [-38.03, -28.33] [-37.83, -27.33]
1.670013e+10 [-41.28, -34.14] [-41.08, -33.14] [-40.88, -32.14]
1.733789e+10 [-38.48, -65.49] [-38.28, -64.49] [-38.08, -63.49]
1.800000e+10 [-43.39, -143.18] [-43.19, -142.18] [-42.99, -141.18]
