# Version 1.00
#
freq[Hz];Trc1_S21[dB];
2.469592464177779E+009;-2.266102355551835E+000;
2.563903373449715E+009;-2.314995860266741E+000;
2.661815908389335E+009;-2.369426898551699E+000;
2.763467610958116E+009;-2.406027852055161E+000;
2.869001275687604E+009;-2.450530732113499E+000;
2.978565150269043E+009;-2.505782545409079E+000;
3.092313143803313E+009;-2.558111548990876E+000;
3.210405043003673E+009;-2.605756555525413E+000;
3.333006736655056E+009;-2.659611891697534E+000;
3.460290448645197E+009;-2.712424838816990E+000;
3.592434979894962E+009;-2.744058720605212E+000;
3.729625959527711E+009;-2.783035968831632E+000;
3.872056105630537E+009;-2.855791350624095E+000;
4.019925495973672E+009;-2.912208067685795E+000;
4.173441849068368E+009;-2.961317570553385E+000;
4.332820815958047E+009;-3.022125467655766E+000;
4.498286283152621E+009;-3.074859684635463E+000;
4.670070687131537E+009;-3.152903250557845E+000;
4.848415340857322E+009;-3.215270347960173E+000;
5.033570772758309E+009;-3.259476057023603E+000;
5.225797078656734E+009;-3.335522776391254E+000;
5.425364287136548E+009;-3.417654813952831E+000;
5.632552738864227E+009;-3.471658824656676E+000;
5.847653480395394E+009;-3.531796974386219E+000;
6.070968673020469E+009;-3.610952625386277E+000;
6.302812017223670E+009;-3.692287639766243E+000;
6.543509193351618E+009;-3.767783279208777E+000;
6.793398319110564E+009;-3.844191803239929E+000;
7.052830424534919E+009;-3.921302900197859E+000;
7.322169945094285E+009;-4.026486567524477E+000;
7.601795233631680E+009;-4.082648370150146E+000;
7.892099091852097E+009;-4.193415578016992E+000;
8.193489322108005E+009;-4.286636124428283E+000;
8.506389300256902E+009;-4.357317894596744E+000;
8.831238570395649E+009;-4.422765843955752E+000;
9.168493462307018E+009;-4.483808152285212E+000;
9.518627732485830E+009;-4.571228741802847E+000;
9.882133229645132E+009;-4.649402338093727E+000;
1.025952058563731E+010;-4.758131839488090E+000;
1.065131993276066E+010;-4.871169155432956E+000;
1.105808164845913E+010;-5.007330666236458E+000;
1.148037712846121E+010;-5.133156865161777E+000;
1.191879958944423E+010;-5.214451810447533E+000;
1.237396490235132E+010;-5.323061525709960E+000;
1.284651245753197E+010;-5.389285367884166E+000;
1.333710606292122E+010;-5.478487339729264E+000;
1.384643487651927E+010;-5.569490311993529E+000;
1.437521437448148E+010;-5.659125002664174E+000;
1.492418735617858E+010;-5.792251181606493E+000;
1.549412498763898E+010;-5.922785721153582E+000;
1.608582788483898E+010;-6.031192348371821E+000;
1.670012723836252E+010;-6.226578702344209E+000;
1.733788598101053E+010;-6.281668403574006E+000;
1.800000000000000E+010;-6.412350221918051E+000;
