FUNIT: Hz
UNIT: dB
1.284651e+10 [-5.49, -109.59] [-5.29, -108.59] [-5.09, -107.59]
1.333711e+10 [-5.73, -12.49] [-5.53, -11.49] [-5.33, -10.49]
1.384643e+10 [-5.76, -22.48] [-5.56, -21.48] [-5.36, -20.48]
1.437521e+10 [-5.79, -142.85] [-5.59, -141.85] [-5.39, -140.85]
1.492419e+10 [-6.02, -19.59] [-5.82, -18.59] [-5.62, -17.59]
1.549412e+10 [-6.41, -12.18] [-6.21, -11.18] [-6.01, -10.18]
1.608583e+10 [-6.54, -131.02] [-6.34, -130.02] [-6.14, -129.02]
1.670013e+10 [-6.52, -22.35] [-6.32, -21.35] [-6.12, -20.35]
1.733789e+10 [-7.51, -47.43] [-7.31, -46.43] [-7.11, -45.43]
1.800000e+10 [-7.72, 150.26] [-7.52, 151.26] [-7.32, 152.26]
