FUNIT: Hz
UNIT: dB
9.168493e+09 [-27.35, -80.14] [-27.15, -79.14] [-26.95, -78.14]
9.518628e+09 [-27.27, -132.78] [-27.07, -131.78] [-26.87, -130.78]
9.882133e+09 [-27.12, 63.29] [-26.92, 64.29] [-26.72, 65.29]
1.025952e+10 [-27.26, 142.38] [-27.06, 143.38] [-26.86, 144.38]
1.065132e+10 [-27.83, 105.45] [-27.63, 106.45] [-27.43, 107.45]
1.105808e+10 [-27.90, -61.37] [-27.70, -60.37] [-27.50, -59.37]
1.148038e+10 [-27.68, 3.06] [-27.48, 4.06] [-27.28, 5.06]
1.191880e+10 [-28.16, -69.41] [-27.96, -68.41] [-27.76, -67.41]
1.237396e+10 [-28.05, 80.50] [-27.85, 81.50] [-27.65, 82.50]
1.284651e+10 [-27.74, 83.53] [-27.54, 84.53] [-27.34, 85.53]
1.333711e+10 [-27.73, -64.75] [-27.53, -63.75] [-27.33, -62.75]
1.384643e+10 [-27.94, -11.81] [-27.74, -10.81] [-27.54, -9.81]
1.437521e+10 [-28.60, -120.85] [-28.40, -119.85] [-28.20, -118.85]
1.492419e+10 [-28.09, -39.27] [-27.89, -38.27] [-27.69, -37.27]
1.549412e+10 [-28.89, -134.19] [-28.69, -133.19] [-28.49, -132.19]
1.608583e+10 [-29.51, -52.81] [-29.31, -51.81] [-29.11, -50.81]
1.670013e+10 [-29.57, -156.20] [-29.37, -155.20] [-29.17, -154.20]
1.733789e+10 [-29.21, -105.00] [-29.01, -104.00] [-28.81, -103.00]
1.800000e+10 [-29.65, 104.88] [-29.45, 105.88] [-29.25, 106.88]
