FUNIT: Hz
UNIT: dB
3.872056e+09 [-1.83, -82.53] [-1.63, -81.53] [-1.43, -80.53]
4.019925e+09 [-1.88, -165.48] [-1.68, -164.48] [-1.48, -163.48]
4.173442e+09 [-1.90, 94.81] [-1.70, 95.81] [-1.50, 96.81]
4.332821e+09 [-1.95, -22.48] [-1.75, -21.48] [-1.55, -20.48]
4.498286e+09 [-2.00, -158.15] [-1.80, -157.15] [-1.60, -156.15]
4.670071e+09 [-2.02, 47.48] [-1.82, 48.48] [-1.62, 49.48]
4.848415e+09 [-2.06, -126.61] [-1.86, -125.61] [-1.66, -124.61]
5.033571e+09 [-2.12, 38.82] [-1.92, 39.82] [-1.72, 40.82]
5.225797e+09 [-2.17, -177.05] [-1.97, -176.05] [-1.77, -175.05]
5.425364e+09 [-2.19, -54.40] [-1.99, -53.40] [-1.79, -52.40]
5.632553e+09 [-2.25, 45.17] [-2.05, 46.17] [-1.85, 47.17]
5.847653e+09 [-2.33, 121.04] [-2.13, 122.04] [-1.93, 123.04]
6.070969e+09 [-2.37, 172.04] [-2.17, 173.04] [-1.97, 174.04]
6.302812e+09 [-2.44, -162.38] [-2.24, -161.38] [-2.04, -160.38]
6.543509e+09 [-2.52, -162.97] [-2.32, -161.97] [-2.12, -160.97]
6.793398e+09 [-2.59, 168.90] [-2.39, 169.90] [-2.19, 170.90]
7.052830e+09 [-2.64, 111.55] [-2.44, 112.55] [-2.24, 113.55]
7.322170e+09 [-2.78, 24.88] [-2.58, 25.88] [-2.38, 26.88]
7.601795e+09 [-2.88, -92.66] [-2.68, -91.66] [-2.48, -90.66]
7.892099e+09 [-3.03, 118.67] [-2.83, 119.67] [-2.63, 120.67]
8.193489e+09 [-3.15, -63.60] [-2.95, -62.60] [-2.75, -61.60]
8.506389e+09 [-3.22, 79.42] [-3.02, 80.42] [-2.82, 81.42]
8.831239e+09 [-3.32, -172.80] [-3.12, -171.80] [-2.92, -170.80]
9.168493e+09 [-3.46, -101.94] [-3.26, -100.94] [-3.06, -99.94]
9.518628e+09 [-3.48, -69.22] [-3.28, -68.22] [-3.08, -67.22]
9.882133e+09 [-3.43, -77.17] [-3.23, -76.17] [-3.03, -75.17]
1.025952e+10 [-3.43, -127.49] [-3.23, -126.49] [-3.03, -125.49]
1.065132e+10 [-3.46, 138.94] [-3.26, 139.94] [-3.06, 140.94]
1.105808e+10 [-3.58, 1.53] [-3.38, 2.53] [-3.18, 3.53]
1.148038e+10 [-3.61, 177.00] [-3.41, 178.00] [-3.21, 179.00]
1.191880e+10 [-3.65, -55.73] [-3.45, -54.73] [-3.25, -53.73]
1.237396e+10 [-3.69, 21.64] [-3.49, 22.64] [-3.29, 23.64]
1.284651e+10 [-3.75, 46.16] [-3.55, 47.16] [-3.35, 48.16]
1.333711e+10 [-3.75, 16.99] [-3.55, 17.99] [-3.35, 18.99]
1.384643e+10 [-3.80, -69.00] [-3.60, -68.00] [-3.40, -67.00]
1.437521e+10 [-3.89, 147.21] [-3.69, 148.21] [-3.49, 149.21]
1.492419e+10 [-4.09, -56.28] [-3.89, -55.28] [-3.69, -54.28]
1.549412e+10 [-4.14, 35.05] [-3.94, 36.05] [-3.74, 37.05]
1.608583e+10 [-4.46, 64.20] [-4.26, 65.20] [-4.06, 66.20]
1.670013e+10 [-4.40, 23.23] [-4.20, 24.23] [-4.00, 25.23]
1.733789e+10 [-4.62, -86.33] [-4.42, -85.33] [-4.22, -84.33]
1.800000e+10 [-4.76, 91.56] [-4.56, 92.56] [-4.36, 93.56]
