FUNIT: Hz
UNIT: dB
3.729626e+09 [-2.82, 119.07] [-2.62, 120.07] [-2.42, 121.07]
3.872056e+09 [-2.87, 74.65] [-2.67, 75.65] [-2.47, 76.65]
4.019925e+09 [-3.11, -0.21] [-2.91, 0.79] [-2.71, 1.79]
4.173442e+09 [-3.00, -104.90] [-2.80, -103.90] [-2.60, -102.90]
4.332821e+09 [-3.29, 119.24] [-3.09, 120.24] [-2.89, 121.24]
4.498286e+09 [-3.16, -50.30] [-2.96, -49.30] [-2.76, -48.30]
4.670071e+09 [-3.20, 108.08] [-3.00, 109.08] [-2.80, 110.08]
4.848415e+09 [-3.29, -130.41] [-3.09, -129.41] [-2.89, -128.41]
5.033571e+09 [-3.32, -44.86] [-3.12, -43.86] [-2.92, -42.86]
5.225797e+09 [-3.39, 2.10] [-3.19, 3.10] [-2.99, 4.10]
5.425364e+09 [-3.60, 10.42] [-3.40, 11.42] [-3.20, 12.42]
5.632553e+09 [-3.69, -21.81] [-3.49, -20.81] [-3.29, -19.81]
5.847653e+09 [-3.61, -97.53] [-3.41, -96.53] [-3.21, -95.53]
6.070969e+09 [-3.77, 143.28] [-3.57, 144.28] [-3.37, 145.28]
6.302812e+09 [-3.80, -23.13] [-3.60, -22.13] [-3.40, -21.13]
6.543509e+09 [-4.05, 124.09] [-3.85, 125.09] [-3.65, 126.09]
6.793398e+09 [-4.16, -138.82] [-3.96, -137.82] [-3.76, -136.82]
7.052830e+09 [-4.33, -91.77] [-4.13, -90.77] [-3.93, -89.77]
7.322170e+09 [-4.51, -99.57] [-4.31, -98.57] [-4.11, -97.57]
7.601795e+09 [-4.71, -158.36] [-4.51, -157.36] [-4.31, -156.36]
7.892099e+09 [-4.99, 82.60] [-4.79, 83.60] [-4.59, 84.60]
8.193489e+09 [-4.66, -97.71] [-4.46, -96.71] [-4.26, -95.71]
8.506389e+09 [-4.59, 21.40] [-4.39, 22.40] [-4.19, 23.40]
8.831239e+09 [-4.91, 76.71] [-4.71, 77.71] [-4.51, 78.71]
9.168493e+09 [-5.36, 66.58] [-5.16, 67.58] [-4.96, 68.58]
9.518628e+09 [-4.92, -13.49] [-4.72, -12.49] [-4.52, -11.49]
9.882133e+09 [-5.15, -171.03] [-4.95, -170.03] [-4.75, -169.03]
1.025952e+10 [-5.28, -37.61] [-5.08, -36.61] [-4.88, -35.61]
