FUNIT: Hz
UNIT: dB
1.575103e+09 [-42.76, -141.97] [-42.56, -140.97] [-42.36, -139.97]
1.635254e+09 [-47.66, 106.74] [-47.46, 107.74] [-47.26, 108.74]
1.697703e+09 [-51.86, 144.13] [-51.66, 145.13] [-51.46, 146.13]
1.762536e+09 [-42.16, -47.77] [-41.96, -46.77] [-41.76, -45.77]
1.829845e+09 [-39.24, 143.12] [-39.04, 144.12] [-38.84, 145.12]
1.899725e+09 [-39.68, -91.05] [-39.48, -90.05] [-39.28, -89.05]
1.972273e+09 [-48.18, 140.21] [-47.98, 141.21] [-47.78, 142.21]
2.047592e+09 [-38.24, -86.44] [-38.04, -85.44] [-37.84, -84.44]
2.125787e+09 [-39.01, 25.37] [-38.81, 26.37] [-38.61, 27.37]
2.206969e+09 [-35.96, 117.28] [-35.76, 118.28] [-35.56, 119.28]
2.291250e+09 [-37.51, -169.18] [-37.31, -168.18] [-37.11, -167.18]
2.378751e+09 [-35.14, -133.28] [-34.94, -132.28] [-34.74, -131.28]
2.469592e+09 [-33.95, -104.37] [-33.75, -103.37] [-33.55, -102.37]
2.563903e+09 [-33.63, -115.08] [-33.43, -114.08] [-33.23, -113.08]
2.661816e+09 [-32.61, -149.47] [-32.41, -148.47] [-32.21, -147.47]
2.763468e+09 [-30.66, 141.53] [-30.46, 142.53] [-30.26, 143.53]
2.869001e+09 [-29.87, 40.51] [-29.67, 41.51] [-29.47, 42.51]
2.978565e+09 [-27.65, -78.61] [-27.45, -77.61] [-27.25, -76.61]
3.092313e+09 [-26.39, 97.02] [-26.19, 98.02] [-25.99, 99.02]
3.210405e+09 [-26.48, -127.87] [-26.28, -126.87] [-26.08, -125.87]
3.333007e+09 [-30.74, 11.81] [-30.54, 12.81] [-30.34, 13.81]
3.460290e+09 [-31.46, 99.87] [-31.26, 100.87] [-31.06, 101.87]
3.592435e+09 [-33.57, 150.53] [-33.37, 151.53] [-33.17, 152.53]
3.729626e+09 [-39.79, -179.41] [-39.59, -178.41] [-39.39, -177.41]
3.872056e+09 [-37.37, 153.99] [-37.17, 154.99] [-36.97, 155.99]
4.019925e+09 [-39.22, 107.99] [-39.02, 108.99] [-38.82, 109.99]
4.173442e+09 [-51.99, 135.08] [-51.79, 136.08] [-51.59, 137.08]
4.332821e+09 [-47.35, -55.94] [-47.15, -54.94] [-46.95, -53.94]
4.498286e+09 [-51.10, -59.70] [-50.90, -58.70] [-50.70, -57.70]
4.670071e+09 [-38.51, -116.77] [-38.31, -115.77] [-38.11, -114.77]
4.848415e+09 [-45.36, -97.02] [-45.16, -96.02] [-44.96, -95.02]
5.033571e+09 [-48.46, -27.05] [-48.26, -26.05] [-48.06, -25.05]
5.225797e+09 [-40.56, -78.56] [-40.36, -77.56] [-40.16, -76.56]
5.425364e+09 [-31.55, 86.44] [-31.35, 87.44] [-31.15, 88.44]
5.632553e+09 [-32.52, -93.84] [-32.32, -92.84] [-32.12, -91.84]
5.847653e+09 [-32.94, -45.58] [-32.74, -44.58] [-32.54, -43.58]
6.070969e+09 [-36.48, 68.72] [-36.28, 69.72] [-36.08, 70.72]
6.302812e+09 [-33.73, 42.41] [-33.53, 43.41] [-33.33, 44.41]
6.543509e+09 [-35.07, 64.11] [-34.87, 65.11] [-34.67, 66.11]
6.793398e+09 [-42.69, -124.51] [-42.49, -123.51] [-42.29, -122.51]
7.052830e+09 [-47.40, -117.62] [-47.20, -116.62] [-47.00, -115.62]
7.322170e+09 [-32.70, -108.97] [-32.50, -107.97] [-32.30, -106.97]
7.601795e+09 [-58.18, 166.38] [-57.98, 167.38] [-57.78, 168.38]
7.892099e+09 [-51.90, 176.17] [-51.70, 177.17] [-51.50, 178.17]
8.193489e+09 [-47.36, 126.72] [-47.16, 127.72] [-46.96, 128.72]
8.506389e+09 [-39.55, 125.72] [-39.35, 126.72] [-39.15, 127.72]
8.831239e+09 [-47.26, 89.20] [-47.06, 90.20] [-46.86, 91.20]
9.168493e+09 [-42.94, 113.31] [-42.74, 114.31] [-42.54, 115.31]
9.518628e+09 [-40.75, -37.72] [-40.55, -36.72] [-40.35, -35.72]
9.882133e+09 [-36.43, 47.29] [-36.23, 48.29] [-36.03, 49.29]
1.025952e+10 [-38.93, -15.92] [-38.73, -14.92] [-38.53, -13.92]
1.065132e+10 [-29.62, 165.93] [-29.42, 166.93] [-29.22, 167.93]
1.105808e+10 [-33.63, -7.77] [-33.43, -6.77] [-33.23, -5.77]
1.148038e+10 [-35.23, -19.73] [-35.03, -18.73] [-34.83, -17.73]
1.191880e+10 [-47.41, -45.59] [-47.21, -44.59] [-47.01, -43.59]
1.237396e+10 [-42.09, -162.12] [-41.89, -161.12] [-41.69, -160.12]
1.284651e+10 [-46.18, -53.56] [-45.98, -52.56] [-45.78, -51.56]
1.333711e+10 [-40.03, 101.08] [-39.83, 102.08] [-39.63, 103.08]
1.384643e+10 [-28.34, 90.67] [-28.14, 91.67] [-27.94, 92.67]
1.437521e+10 [-34.22, 120.28] [-34.02, 121.28] [-33.82, 122.28]
1.492419e+10 [-43.09, 136.86] [-42.89, 137.86] [-42.69, 138.86]
1.549412e+10 [-31.27, -64.91] [-31.07, -63.91] [-30.87, -62.91]
1.608583e+10 [-37.01, 137.02] [-36.81, 138.02] [-36.61, 139.02]
1.670013e+10 [-46.29, -87.74] [-46.09, -86.74] [-45.89, -85.74]
1.733789e+10 [-45.55, -175.30] [-45.35, -174.30] [-45.15, -173.30]
1.800000e+10 [-47.82, -154.67] [-47.62, -153.67] [-47.42, -152.67]
