FUNIT: Hz
UNIT: dB
0 [-0.2, -2.00] [0, 0] [0.2, 2.00]
8.506389e+09 [-3.81, 73.74] [-3.61, 74.74] [-3.41, 75.74]
8.831239e+09 [-4.03, 30.29] [-3.83, 31.29] [-3.63, 32.29]
9.168493e+09 [-4.11, -68.96] [-3.91, -67.96] [-3.71, -66.96]
9.518628e+09 [-4.05, 135.17] [-3.85, 136.17] [-3.65, 137.17]
9.882133e+09 [-4.25, -82.33] [-4.05, -81.33] [-3.85, -80.33]
1.025952e+10 [-4.22, -8.13] [-4.02, -7.13] [-3.82, -6.13]
1.065132e+10 [-4.30, 4.37] [-4.10, 5.37] [-3.90, 6.37]
1.105808e+10 [-4.75, -51.48] [-4.55, -50.48] [-4.35, -49.48]
1.148038e+10 [-4.94, -180.99] [-4.74, -179.99] [-4.54, -178.99]
1.191880e+10 [-5.09, -22.29] [-4.89, -21.29] [-4.69, -20.29]
1.237396e+10 [-5.47, 62.26] [-5.27, 63.26] [-5.07, 64.26]
1.284651e+10 [-5.65, 63.92] [-5.45, 64.92] [-5.25, 65.92]
1.333711e+10 [-5.02, -13.44] [-4.82, -12.44] [-4.62, -11.44]
1.384643e+10 [-5.32, 178.41] [-5.12, 179.41] [-4.92, 180.41]
1.437521e+10 [-5.58, -72.25] [-5.38, -71.25] [-5.18, -70.25]
1.492419e+10 [-5.22, -65.47] [-5.02, -64.47] [-4.82, -63.47]
1.549412e+10 [-5.52, -153.18] [-5.32, -152.18] [-5.12, -151.18]
1.608583e+10 [-6.39, 18.55] [-6.19, 19.55] [-5.99, 20.55]
1.670013e+10 [-5.89, 90.16] [-5.69, 91.16] [-5.49, 92.16]
1.733789e+10 [-6.06, 50.40] [-5.86, 51.40] [-5.66, 52.40]
1.800000e+10 [-7.11, -110.05] [-6.91, -109.05] [-6.71, -108.05]
